filename,cls,xymin,xymax,names
ILSVRC2012_val_00050000,n02437616,"(237, 109)","(446, 374)",llama
ILSVRC2012_val_00049999,n10148035,"(0, 25)","(146, 498)","groom, bridegroom"
ILSVRC2012_val_00049998,n02106166,"(11, 2)","(499, 335)",Border collie
ILSVRC2012_val_00049997,n01630670,"(99, 73)","(658, 346)","common newt, Triturus vulgaris"
ILSVRC2012_val_00049996,n02123394,"(0, 0)","(475, 350)",Persian cat
ILSVRC2012_val_00049995,n03729826,"(115, 188)","(134, 332)",matchstick
ILSVRC2012_val_00049994,n01871265,"(64, 8)","(499, 374)",tusker
ILSVRC2012_val_00049993,n04328186,"(58, 0)","(435, 347)","stopwatch, stop watch"
ILSVRC2012_val_00049992,n02442845,"(130, 56)","(374, 317)",mink
ILSVRC2012_val_00049991,n01980166,"(190, 172)","(440, 296)",fiddler crab
ILSVRC2012_val_00049990,n01622779,"(217, 43)","(385, 463)","great grey owl, great gray owl, Strix nebulosa"
ILSVRC2012_val_00049989,n02667093,"(48, 7)","(379, 565)",abaya
ILSVRC2012_val_00049988,n01796340,"(219, 176)","(333, 295)",ptarmigan
ILSVRC2012_val_00049987,n01689811,"(0, 1)","(411, 418)",alligator lizard
ILSVRC2012_val_00049986,n02802426,"(171, 67)","(210, 105)",basketball
ILSVRC2012_val_00049985,n02481823,"(0, 12)","(566, 480)","chimpanzee, chimp, Pan troglodytes"
ILSVRC2012_val_00049984,n02119022,"(15, 50)","(347, 220)","red fox, Vulpes vulpes"
ILSVRC2012_val_00049983,n04485082,"(0, 0)","(473, 374)",tripod
ILSVRC2012_val_00049982,n06794110,"(12, 11)","(229, 488)",street sign
ILSVRC2012_val_00049981,n01981276,"(118, 64)","(431, 366)","king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica"
ILSVRC2012_val_00049980,n01697457,"(6, 122)","(437, 223)","African crocodile, Nile crocodile, Crocodylus niloticus"
ILSVRC2012_val_00049979,n02877765,"(27, 43)","(430, 438)",bottlecap
ILSVRC2012_val_00049978,n02841315,"(48, 25)","(390, 302)","binoculars, field glasses, opera glasses"
ILSVRC2012_val_00049977,n01914609,"(71, 13)","(480, 303)","sea anemone, anemone"
ILSVRC2012_val_00049976,n02445715,"(215, 146)","(412, 294)","skunk, polecat, wood pussy"
ILSVRC2012_val_00049975,n01755581,"(15, 202)","(486, 377)","diamondback, diamondback rattlesnake, Crotalus adamanteus"
ILSVRC2012_val_00049974,n02486410,"(281, 192)","(455, 471)",baboon
ILSVRC2012_val_00049973,n02133161,"(351, 254)","(1036, 1174)","American black bear, black bear, Ursus americanus, Euarctos americanus"
ILSVRC2012_val_00049972,n03908618,"(63, 46)","(360, 492)","pencil box, pencil case"
ILSVRC2012_val_00049971,n03467068,"(2, 5)","(220, 408)",guillotine
ILSVRC2012_val_00049970,n07248320,"(0, 0)","(449, 498)","book jacket, dust cover, dust jacket, dust wrapper"
ILSVRC2012_val_00049969,n04266014,"(153, 83)","(499, 224)",space shuttle
ILSVRC2012_val_00049968,n04584207,"(32, 30)","(243, 260)",wig
ILSVRC2012_val_00049967,n03207743,"(41, 12)","(476, 369)","dishrag, dishcloth"
ILSVRC2012_val_00049966,n01833805,"(141, 93)","(346, 446)",hummingbird
ILSVRC2012_val_00049965,n02100735,"(8, 143)","(226, 468)",English setter
ILSVRC2012_val_00049964,n07615774,"(48, 62)","(149, 290)","ice lolly, lolly, lollipop, popsicle"
ILSVRC2012_val_00049963,n03929855,"(259, 11)","(287, 41)",pickelhaube
ILSVRC2012_val_00049962,n01817953,"(94, 63)","(364, 372)","African grey, African gray, Psittacus erithacus"
ILSVRC2012_val_00049961,n02268853,"(110, 150)","(300, 328)",damselfly
ILSVRC2012_val_00049960,n02132136,"(67, 52)","(271, 296)","brown bear, bruin, Ursus arctos"
ILSVRC2012_val_00049959,n02099712,"(212, 95)","(418, 316)",Labrador retriever
ILSVRC2012_val_00049958,n02410509,"(116, 102)","(371, 476)",bison
ILSVRC2012_val_00049957,n04525305,"(51, 6)","(426, 374)",vending machine
ILSVRC2012_val_00049956,n02107683,"(89, 93)","(368, 374)",Bernese mountain dog
ILSVRC2012_val_00049955,n04270147,"(21, 69)","(559, 229)",spatula
ILSVRC2012_val_00049954,n01697457,"(269, 120)","(468, 231)","African crocodile, Nile crocodile, Crocodylus niloticus"
ILSVRC2012_val_00049953,n03134739,"(31, 170)","(219, 350)",croquet ball
ILSVRC2012_val_00049952,n04507155,"(122, 170)","(245, 242)",umbrella
ILSVRC2012_val_00049951,n04560804,"(125, 2)","(396, 406)",water jug
ILSVRC2012_val_00049950,n03998194,"(0, 311)","(373, 498)","prayer rug, prayer mat"
ILSVRC2012_val_00049949,n03535780,"(154, 54)","(482, 94)","horizontal bar, high bar"
ILSVRC2012_val_00049948,n02326432,"(197, 121)","(751, 691)",hare
ILSVRC2012_val_00049947,n03447721,"(6, 6)","(185, 196)","gong, tam-tam"
ILSVRC2012_val_00049946,n04317175,"(25, 30)","(361, 493)",stethoscope
ILSVRC2012_val_00049945,n03787032,"(1, 60)","(286, 322)",mortarboard
ILSVRC2012_val_00049944,n04515003,"(0, 0)","(119, 89)","upright, upright piano"
